Model;Make;Model;VehicleClass;EngineSize;Cylinders;Transmission;Fuel;FuelConsumption;CO2 Emissions;CO2;Smog
2021;Ford;Bronco Badlands 4WD;SUV: Small;2.3;4;M7;X;14.7;330;3;5
2021;Ford;Bronco Badlands 4WD;SUV: Small;2.7;6;AS10;X;13.7;315;3;6
2021;Ford;Bronco Black Diamond 4WD;SUV: Small;2.3;4;AS10;X;13.1;308;3;5
2021;Ford;Bronco Black Diamond 4WD;SUV: Small;2.3;4;M7;X;13.8;310;3;5
2021;Ford;Bronco Sasquatch 4WD;SUV: Small;2.3;4;AS10;X;13.1;308;3;5
2021;Ford;Bronco Sasquatch 4WD;SUV: Small;2.7;6;AS10;X;14.0;327;3;6
2021;Ford;Bronco Sport 4WD;SUV: Small;1.5;3;A8;X;9.3;209;5;7
2021;Ford;Bronco Sport 4WD;SUV: Small;2.0;4;AS8;X;11.1;238;5;5
2021;Ford;EcoSport;SUV: Small;1.0;3;AS6;X;8.6;197;6;5
2021;Ford;EcoSport AWD;SUV: Small;2.0;4;AS6;X;10.2;217;5;5
2021;Ford;Edge;SUV: Small;2.0;4;A8;X;11.2;229;5;5
2021;Ford;Edge AWD;SUV: Small;2.0;4;A8;X;11.5;236;5;5
2021;Ford;Edge AWD;SUV: Small;2.0;4;AS8;X;11.5;237;5;5
